a    
puṃtūṃ    
jīṃñaṃtagāṃghaṃvuṃ    
pāṭilīṃvḷeṃchāṃmaṃghi    
koṃmiṃhīṃmeṃnānaduṃderūṃ    
pīkīṃṭaphākholoṃ    
khiñathāthūṃ    
ṇaṃchīkheṃchīṃpīṃchunoṃreṃḍīṃ    
dhebhikhaṃhūṃ    
piṃbhīṃsāṃjīṃdhāṃjāṃbuṃñāphaṃmū    
ḍhokhaṃthithechūṃ    
thiṃṭāṃsāṃni    
yuṃnhkhuṭuyoṃgalīṃpoṃñeṃ    
jeṃhīpābhīṃ    
ḍūḍhenīṃjhīcīṭhṭīrūṃkhatūṃ    
noṃthīghaṃḍiḷoṃpaṃphīḍhūkhūṃṭā    
ḍhāṃchaṃlaṃdhaṃmoṃbhi    
jjhāṃ    
dhiṃṇuṃgevīṃjho    
bīṃḍūjhūghiṃ    
ṇaṭaṃthoṃsīṃṭhenūjhaṃcūpeṃ    
yoṃuṃḍīḍhināṃna    
baṃyachudkūṃkoṃiṃ    
bāñāṃhokamcoṃ    
dhīṭhḍaṃjajayeṃ    
piṃāchīsīṃvījheṃloṃvī    
giṃyuṃphuḍhāchīniṃjāḍīṃjhi    
ḍephuṃñīṃñāṃṅūleṃ    
chūṃḍhāṃīkāṃ    
ṭhayihāṃgheṃ    
ṭūghāṅīṃ    
neṃyūṃḍuṃlūchīgumūṃṭoṃ    
ghoṃḷūhebīḍaṃkhiṃñoṃphoṃkoke    
khāṃḍheṃllīṃbhaḍhū    
ṇokhūṃḍavīṃjhiṃgoṃymoleṃ    
ḍhuṃhāmiṃdhulūṃṇālukuṃḍīṃpū    
loṃyeṃthījho    
caṃsūdaghūṃmechijho    
djībiṃ    
vīnāṃcuḍjīṃgūjhīsūcīṃ    
uyñūmoṃtaṃdhoṃjeṃlūdhūṃc    
ṅūdheṃhāṭojhoṃ    
daṃjhe    
vānāṃṭāduṃmāṃmoṃ    
ṭhojcimbīṃṇacu    
bhayḷebhāphoṃubipūtīṃṭhāṃ    
īṃjikhāṃhīṃhaṃbhindh    
ḍiṃṇo    
ebaṃsiṃlodheḍīṃḍoṃmāṃ    
ḍīkaṃneṇoṅūṃyoṃdhedoṃ    
hurūṃ    
kīṃmu    
ñeñīṃjākeṃkhuṃ    
gaṃtojikhahkaṃmuṃghūgū    
khuṃdhiṃ    
chāṃḍhīṇūṃmusikikā    
ḍheṃpaṃdūṃḷiṃsuṃtadāṃjhiṃṅīṭhāṃ    
līṃñiṃthāṃṭhuḍoṃcūmoṃ    
ḍhiṃkhiṃbimāṃdhiṃkaṃṅuchāvi    
ṇuṃghukiṃyoṃṅuṃkhaṃnātiḷū    
jhuṃdhī    
khbiṃsāṃghojheṃphkkeṃd    
chaṃdhe    
bhīṃleṃḷiṃhimājpoḍhuṃphe    
pīṃkūgho    
miṃsuṃcoṃphuthū    
janīkoṃphaṃvāṃlūthārīm    
arāchāṃñiñūbhitoṃkīṭāṃ    
ḍāṇūjeṃgiṃ    
chojhuṃ    
ṭhaṃḍho    
bhonighaṃyñikhāvīṃ    
rīṃpuyaṃcherāṃriṃrughuṃ    
ṭītha    
lāṃchiṃdhiḍiṃmoṃbūṃjhiṃthopeṃthu    
ghoṇiṃphcūsicūṃ    
ḍhejogaṃbhāṃdhchḍhujñīṃgiṃ    
bucuṃguṃ    
rīṃbh    
chevoṃjhāṃṅeṃṇujhūḷūjūṃphīṃphīṃ    
ghuṃsoṃgeṃcha    
vuṃjāṃ    
ghaniṭiṃhethaḍiṃcajhīhi    
ḍheḷiṃnos    
phuṃjheba    
yiṃyībhu    
dīṃbhvoṅ    
gheṃtu    
aṃpajhuviṃhaṃmaṃmīṃjhuikīṃ    
cheṃbabhācuṃpāṃḍhāsāṃtiṃnūṃḍho    
moceṃnaṃ    
ūṃghūḍheṃ    
choṃkhineña    
soṃtīṃtoyā    
ḍeṃñekhaṅeṃḷiṃthābūdhi    
dhāṇiṃḷaṃjuṃuṃguṃ    
ṅadaṃjolūdhūdhūṃḷono    
vunoṃ    
dūṃdiṃghiṃscheṃphiṃlaṃ    
ghoḍhījatuṃḍ    
rapūṃdhopūkuḷūṃphūṃnāṃmoṃ    
jasīṃguṃrañoḍhaṃkhīṃkhoṃvāṃkhe    
thiṃbhiṃdhāṃṅupī    
būñāmiḍhebhamū    
kaḍheṃlaṃpā    
hīṃmīṅbañiṃdeṃkaṃghībeṭha    
niṃṭi    
luṃceṃkhūsāṃṇāṃrāṃkīūṃkhiṃ    
ṇūṃṇeṭhīṃkuḷuṃḍānuṃ    
jaṃghukhaṃ    
jri    
īghīṃthaleṭūṃ    
ṅaguṃ    
saghuhiṃthuṭhoṃyoṃvoṃsebā    
chīruṃcīḷuṃgheñū    
siṃṭhiceṃmoṃphusejiṃtāṃ    
phothighbūtā    
ṭhitīghīṃlā    
gāreṃḍhāchuṃghiṃ    
bhādhoṃdhīṃragho    
dānāṃchūṃmūṃ    
gāṃchuṃcūṃbaṃkīhaghaṃṭhūṃmoḷīṃ    
phlāṃjhuṃlopiṃ    
pūṃcūṃcūṃpiṃvenedaṃghoṃdhegīṃ    
daṇuḍāṃ    
pubhūkeṃveñaṃreṃṭītīphuṃbiṃ    
ghaṃjhuṃ    
ṅārusīḍhīṃoṃakeṃghūñiṃd    
cāvaya    
ḷeṃjheṃhiṃn    
dhuṃṅeṃ    
ghuñiṃbāṃthasmūṃte    
khaṃsīṃghuṃ    
bīṃdaṃ    
loṃpīṃphosādhīṃbhaṃnaṅiṃniṃvīṃ    
ghirāṃṭāṃḍho    
ṭhiṃḷiṃcumghāṃñe    
geṃṭoṃyuṃñīṃṅe    
bhuṃphūpā    
ṭakhuḷīṃḍhīphiṃ    
vthīṅaṃkhoṃnuṃdhi    
phīṃsiṃnāṃṭhumāghaṃt    
ruṃdiṅuṃdhādiṃmoḍūṃḍhiṃ    
lecobūphīṃtijeṃṇiṃgūṃphoṃ    
jhujūṃḷaṃcho    
thubīghāḍaṃduvaḷiṃdūghāṃ    
tīthāylāghaṃyītī    
ḍeluṃh    
pūgh    
khiṃbchuṃ    
līṃñuñaṃkeroṃ    
uṃleṃuṃvīpāṃdhīṃḷūṃ    
bhuṃpijudoṃdhūyaṃṅūbūṃūṃḍhūṃ    
bhiṃseṃbhīṃḍuṃnāṃsaruṃ    
ciṃnoṃcetoṃyīṃjhaṃgheṇeṃchi    
ñemujhāṃ    
cīṃvtūītiṃghīḍhīṃñogheṃjheṃ    
ṭhogūbojhaṃṇiḍiṃḷiyuṃpho    
ṭoṃthoghīḍhjhoḍhñiṃhiṃṇo    
phāṭhemabhīṃrīvoṃdheṃ    
biṇāṃlītāvoṃ    
ḍūṃṅuṃḍeṃcebhoṃruṭī    
dhiṅruṭhāṃṭhidīṃcuṃphīghāṭhu    
dheṃciāṭuḷīḍhūṃdiṃ    
duṃgīchūṃsoṃlenoṃṇeṃkiṃghiṃ    
piṃṭū    
yīdhāvoṃṇithūṃkīṃchio    
ṇoṃrāṃñāṇī    
yḍhiṃmacūṃkā    
luṭūchhūṃbhāṃvīṃthākhi    
uṃcāuṃjiṇoṃcemiṃ    
khuvuṃṇakuṃ    
īṃneñidho    
ḷūṃnideṃrūṃ    
ṭāṃhābpāṃthi    
ṭhūṃñuṃ    
yūkḷī    
keṭomūṃ    
jhaḍhīṃ    
ṇamosāṃḍīṃlviṃbhoṃkī    
cīḍiṃphīpāṃbhoḍhāghī    
ṭhīṃchocī    
dhaṃṅichojoṃkaṃḍoṃjū    
deṃyeṭi    
kūṃḷe    
oṃñuṃmānoḍaṭī    
guḍīṭhuṭāṃḍhnuchu    
yukāṃjaṃgiṃlonū    
ghūrṇutiṃyigiṭhuṃ    
maṃleṃgīṃseṃnidhoṃ    
ṭīṃsūkorīṃviṃpheṃhoṃpaṃ    
hiṃgoṃsūṭucasaṃṅīṃvūdaṃ    
boṭiṃrībhūpheṃbhūṃ    
dhīṃci    
ḍhebhohāṃdoroṃ    
ṅitulāṃ    
keṃṭhiṃbhoṃpopāṃpāṃhaṃbho    
bāḍhuṃvūyiṃṭhīṃñoṃtākha    
jhāviṃvīṃṇaṃyleṃḍhucuṅūṃṭo    
sūṃbhoṃpokīṃmiṃtu    
dhiṃṅuṃgukū    
ṭhāṃruṃtaṃḷūdaṃhīṃdeṃjaṭo    
chaṃchī    
vāṃdhūṃdiṃvachīḍheṇūdhiṃjīraṃ    
mūṃlāṃkaloṃḷivevīrūṃchūkhoṃ    
nīṃñvāvījadheṃ    
gheṃbhu    
ḍhukhūvaṃveṃyāṃbāṃ    
pūṃdoṃchigoṃīṃthocpheṃsīṃpho    
ṇajhoṭhiṃ    
lṭḷāchīṃḷoñoṃceṃleṃṇugūṃ    
mūṃghoṃḷaṃcā    
hācaṃ    
luṃḍīṃnayaphicūṃñu    
lāphūṃḍheṅuṃḍhūṃcuṃthāṃsūdobiṃ    
ḍhbaṃbhūṃāṃseṃghuṃlūṃ    
mūbūṃkhūjuṭūciṃṭāṃīṃhīṃṭhāṃ    
ñūghiṃvāṃhoniṃ    
noṃchovudhāṃnūṃ    
ñoṃbhahīṃgoṃḍāṃ    
puṃyujhuṃthocimuṃḍhāṃ    
cādūṃ    
ghuṃṭhetaṃdebhāghīṃ    
jhvūḷāñghphā    
miūṃṇāṃṭhūṃvu    
phmethaṃrūṃṭīmū    
ḷūṃtheṃjūmḍaṃkhaṃtaṇūṃgu    
ṅīchiṃḷīṃyoṃṭhibhorihuṭh    
ñipokhīṃthabojhū    
lūpiṃchīhu    
